gen,wall_s,fitness_mean,fitness_max,welfare_mean,welfare_max,frac_food,frac_smoke,frac_reels,compulsion_smoke,compulsion_reels,mean_withdrawal,final_tolerance,mean_dan_rate_hz,mean_dan_rate_driven_hz
11,103.51495385169983,128.61248399884764,182.67402415076504,-30.825016001152363,14.088500582000961,0.025208333333333333,0.5309895833333333,0.0018229166666666667,0.6181267083536683,0.0022460452364555,0.24982564166110044,0.8316301256488164,0.0,58.762652329715586
12,100.88482522964478,175.797406511723,201.63630742090754,-73.49946848827699,-34.83575748675503,0.0021354166666666665,0.8309895833333334,0.00015625,0.8825152769564361,0.00017556179775280898,0.4205049377255582,0.921875,0.0,83.96414137795568
13,99.5758650302887,172.42883129153302,195.012957291794,-61.196168708466985,-28.65670437202789,0.00734375,0.77859375,0.005416666666666667,0.8706202437104145,0.000526685393258427,0.38425162295307846,0.96875,0.0,78.42571604579688
14,100.9904420375824,148.71030605117352,198.47403390100226,-55.72719394882648,-28.871542104054242,0.010052083333333333,0.6808333333333333,0.0021875,0.7267699367021144,0.0022016926890023663,0.33860210577732086,0.8125,0.0,71.2480503422891
15,97.66319513320923,170.6651961015815,197.96956952731125,-69.88167889841849,-10.95774284549725,0.00015625,0.8018229166666666,0.0,0.8701427902621723,0.0,0.40346405190818435,0.90625,0.0,79.39122457806022
16,97.0557119846344,162.48067145522353,193.559730226174,-61.24589104477648,1.6772984663148236,0.00041666666666666664,0.7448958333333333,0.006822916666666666,0.8355135167332223,0.0016394601088262314,0.36831879353366537,0.921875,0.0,74.1973675514385
17,102.41320514678955,135.15884453013862,180.33031039655907,-35.66928046986138,2.5541060863697567,0.012916666666666667,0.5689583333333332,0.0020833333333333333,0.6567347269980434,0.0014705586522705994,0.26671261609301966,0.8661823148691008,0.0,61.32918053456892
18,99.915607213974,185.41227310513898,198.7507194976788,-73.73616439486102,-31.77516601071693,0.00026041666666666666,0.8635937499999999,0.000625,0.9293656367041199,0.00046816479400749064,0.43302403068245243,0.9833512400170226,0.0,84.96470785057792
19,101.64356803894043,122.62202147996176,183.19962095469236,-42.23735352003824,-2.3137293405879973,0.006302083333333333,0.5492187500000001,0.001875,0.6172368979632361,0.002152901559827171,0.2658650492776053,0.7346843464894636,0.0,59.93001133377353
20,100.04746913909912,186.8829670720263,202.976519692922,-76.7889079279737,-10.914941864429693,0.00036458333333333335,0.87890625,0.0,0.9353367557794137,0.0,0.4435330370157058,0.96875,0.0,86.07062109448016
21,102.37206220626831,154.83853944471758,196.8582018034067,-59.37239805528243,-8.484425680671848,0.00359375,0.7139583333333333,0.00078125,0.7897540855017983,0.00035447401149326697,0.3549577831179569,0.8521023498693439,0.0,73.3669451364378
22,101.51616096496582,139.0567518640457,196.76597037690226,-49.6854356359543,-0.4839844005600753,0.004791666666666666,0.6284375,0.0028645833333333336,0.7010209800106938,0.0009650972204011711,0.3071626040309128,0.8129602073242188,0.0,65.32637978161375
23,99.9924328327179,183.0541213477585,199.51952234841883,-69.8443161522415,-47.48867757897824,0.004479166666666667,0.8427604166666667,0.0013541666666666667,0.932539365949212,0.0015215355805243446,0.42059428324337467,0.984375,0.0,83.25006468128413
24,102.7255699634552,185.03325710546858,201.36620744154789,-72.91986789453142,-40.47754583903588,0.0010937499999999999,0.8596874999999999,0.0008854166666666667,0.9163268006993363,0.0008192883895131087,0.43046465824100244,0.9882236166953942,0.0,85.63277493520329
25,110.86956286430359,149.06053632241742,194.26167052146047,-52.75196367758258,-12.289149234537035,0.0038020833333333335,0.6725520833333334,0.0018229166666666667,0.75167736153042,5.852059925093633e-05,0.3287625379320306,0.8752702248441078,0.0,70.93433879168083
26,109.41372489929199,137.81744606580997,190.81074524251744,-50.49505393419003,-28.572502798988353,0.003125,0.6269270833333334,0.008854166666666666,0.6972319574221681,0.001053370786516854,0.30692150281679986,0.8077781433873981,0.0,66.43433864685396
27,109.9236958026886,162.77770460161665,198.12387790018693,-61.19104539838335,-10.95673017306126,0.002916666666666667,0.7453125,0.0028645833333333336,0.8067474929885834,0.0014044943820224719,0.3695838289166638,0.8972343324854523,0.0,76.75744435347616
28,110.6940507888794,100.60137389217786,175.53028657101095,-27.08612610782214,7.621200366411358,0.005833333333333334,0.42328125000000005,0.012083333333333335,0.4780642878780018,0.010308733732639647,0.19432011555616008,0.6857668359776943,0.0,49.9509703320389
29,111.64500880241394,172.39712803377313,200.34062130609527,-66.03255946622686,-11.064902161104328,0.002604166666666667,0.7945312499999999,0.0014583333333333332,0.8507035226226499,0.0009363295880149813,0.39546191358610316,0.9399580296231276,0.0,80.42711653230091
30,121.20103311538696,194.08522029134076,203.23725127626676,-81.91477970865922,-50.54630940882225,0.0,0.9199999999999999,0.0,0.9761821161048689,0.0,0.4669016863383792,0.984375,0.0,91.81302121798197
31,121.67903113365173,185.1668909085031,199.9986662202864,-75.44248409149692,-49.57236218595199,0.002135416666666667,0.8686979166666666,0.0,0.93797971077838,0.0,0.437842851109579,0.96875,0.0,87.65519759147116
32,126.94153070449829,183.40155150010696,199.77821840764955,-75.41094849989304,-45.57931187553993,0.0,0.8627083333333334,0.0,0.93562734082397,0.0,0.4350160937303128,0.953125,0.0,87.57686806871244
33,143.3325548171997,137.15143414977535,190.28404944995418,-50.989190850224645,-9.246131353975215,0.002447916666666667,0.6268229166666667,0.009895833333333333,0.6796918435136496,0.00286750936329588,0.307372108976544,0.7936438453430494,0.0,68.14540997349968
34,104.8806381225586,156.45900377065175,200.3482522891136,-64.68943372934825,-10.91664099621994,0.0016145833333333333,0.7369270833333333,0.0016666666666666666,0.7853876006089577,0.0013459737827715356,0.37036922256091176,0.828125,0.0,75.87165006072571
35,102.62757205963135,178.4076172996775,199.76881238492206,-69.01425770032249,3.120175084242419,0.005572916666666667,0.8247395833333333,0.00015625,0.9040323856684775,0.00018454724409448819,0.4126315367588238,0.9484493053730116,0.0,83.67601511600117
36,148.13017416000366,145.58099413360907,197.15752302040346,-58.64556836639093,-10.58902223215,0.0011458333333333333,0.6797395833333333,0.0034375,0.7375019905744087,0.003863689564181137,0.3388120965647219,0.796875,0.0,73.15862759412576
37,119.73254489898682,161.67390831165676,186.3742631750647,-54.896404188343254,2.779901173984399,0.0030208333333333337,0.7213541666666667,0.003125,0.8101143194385556,0.0021652621722846443,0.35112629915139415,0.953125,0.0,75.58588403246054
38,100.36389303207397,170.27447951455025,195.85450753278565,-63.12395798544975,-30.128478521713987,0.0009375,0.7769791666666667,0.0030729166666666665,0.8635884831460674,0.0015215355805243446,0.3838332368311478,0.9522058970688927,0.0,80.64742432147264
